familles,script,ast,nb_imports,nb_functions,read_hits,write_hits,states_detectes,dangers_detectes,verdict
BRAINCHEF,production/orchestration/seragone_chef_orchestre_v1_state.py,OK,43,19,19,15,STATE.JSON|born_temps_state.json|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|btcdaily.csv|btcdailyclean.csv|btcusd.csv|chaines_epurees_state.json|chronometer_state.json|cycle_state.json|exhaustion_state.json|fear_greed.csv|fear_greed_complet.csv|feargreed.csv|funding_rate_btc.csv|fundingratebtc.csv|mondes_autonomes_state.json|mondes_communicants_state.json|nc_state.json|portance_state.json|q_jour_state.json|signaux_v13.csv|sp500_daily.csv|sp500daily.csv,,GARDER_CANON_DORMANT
SUBDAILY,production/orchestration/subdaily_runner.py,OK,9,3,6,5,binance_oi_btcusdt_daily.csv|funding_rate_btc.csv|klines_1min.db|subdaily_state.json,ORDER|binance,NEPASBRANCHER
27D,provinces_27d_live.py,OK,10,6,13,10,banc_27d_enrichi_v4.csv|exhaustion_state.json|portance_state.json|state.json,,GARDER_CANON_DORMANT
RECURSIFS,recursif_nc_bridge.py,OK,5,6,7,5,nc_state.json|recursif_nc_journal.csv|recursif_v1_journal.csv,,GARDER_CANON_DORMANT
RECURSIFS,recursif_v1_signal.py,OK,9,8,5,2,btc_daily.csv|mondes_recursifs_100m.csv|recursif_v1_journal.csv,Kraken|Pionex,NEPASBRANCHER
BORN,research/backtest_born.py,OK,3,6,1,0,seragone_v3_final.csv,,TESTER_OFFLINE
27D,research/test_27d_4approches.py,OK,5,2,2,0,couches_123_daily.csv|historique_27eq.csv,,TESTER_OFFLINE
BRAINCHEF,seragone_brain.py,OK,9,16,3,3,.csv|state.json,binance,NEPASBRANCHER
BRAINCHEF,seragone_brain_cwt.py,OK,12,17,5,5,btc_daily.csv|btc_daily_clean.csv|state.json|taker_1min.db,ORDER,NEPASBRANCHER
BRAINCHEF,seragone_brain_cwt_PRODUCTION_VPS.py,OK,9,18,6,3,STATE.JSON|brain_cwt_production.csv|btc_1min_90j.csv|btc_daily.csv|fear_greed_complet.csv|funding_rate_btc.csv|sp500_daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,seragone_brain_v2.py,OK,9,18,5,4,.csv|state.json,Binance,NEPASBRANCHER
BRAINCHEF,seragone_brain_v3.py,OK,8,14,4,1,btc_daily.csv|fear_greed_complet.csv|funding_rate_btc.csv|seragone_brain_v3_results.csv|sp500_daily.csv,order,NEPASBRANCHER
BRAINCHEF,seragone_chef_orchestre.py,OK,12,19,2,2,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|state.json,,GARDER_CANON_DORMANT
